Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Male,45,1,28.0,0,1-2 Year,Yes,2630.0,26.0,14,0
Female,67,1,39.0,1,1-2 Year,No,2630.0,26.0,80,0
Female,35,1,28.0,1,1-2 Year,No,25873.0,152.0,240,0
Female,23,1,28.0,1,< 1 Year,Yes,38037.0,151.0,234,0
Male,23,1,29.0,1,< 1 Year,No,23309.0,152.0,59,0
Male,50,1,28.0,0,1-2 Year,No,35192.0,124.0,47,0
Female,25,1,41.0,1,< 1 Year,No,26015.0,152.0,68,0
Male,51,1,33.0,1,1-2 Year,No,38775.0,42.0,155,0
Male,23,1,8.0,1,< 1 Year,No,37071.0,152.0,259,0
Female,24,1,27.0,0,< 1 Year,Yes,26862.0,152.0,132,0
Male,57,1,28.0,0,1-2 Year,Yes,47574.0,26.0,264,0
Male,26,1,30.0,1,< 1 Year,Yes,24610.0,152.0,61,0
Female,32,1,12.0,0,< 1 Year,Yes,34557.0,26.0,279,1
Male,60,1,9.0,0,1-2 Year,Yes,41587.0,26.0,42,1
Male,45,1,15.0,0,1-2 Year,Yes,34465.0,26.0,104,0
Male,57,1,28.0,1,1-2 Year,No,39451.0,26.0,206,0
Female,60,1,8.0,0,1-2 Year,No,32066.0,124.0,139,0
Male,24,1,35.0,0,< 1 Year,Yes,35239.0,124.0,56,0
Male,32,1,8.0,0,< 1 Year,Yes,35065.0,124.0,184,0
Female,29,1,33.0,1,< 1 Year,No,33627.0,152.0,113,0
Female,27,1,48.0,0,< 1 Year,Yes,2630.0,26.0,137,0
Female,41,1,28.0,0,> 2 Years,Yes,35685.0,26.0,52,1
Male,50,1,8.0,0,1-2 Year,Yes,45969.0,26.0,150,0
Female,50,1,28.0,0,1-2 Year,Yes,35802.0,124.0,256,1
Female,23,1,36.0,0,< 1 Year,Yes,53365.0,152.0,130,0
Female,24,1,26.0,0,< 1 Year,Yes,33216.0,152.0,147,0
Female,22,1,6.0,1,< 1 Year,No,23542.0,152.0,272,0
Female,33,1,28.0,0,< 1 Year,Yes,45059.0,124.0,24,0
Female,25,1,28.0,1,< 1 Year,No,36048.0,152.0,149,0
Female,21,1,8.0,0,< 1 Year,Yes,35779.0,160.0,293,0
Male,56,1,39.0,0,1-2 Year,Yes,47975.0,124.0,246,0
Female,25,1,2.0,0,< 1 Year,Yes,37298.0,152.0,132,0
Male,51,1,50.0,0,1-2 Year,Yes,32164.0,124.0,98,0
Male,63,1,46.0,0,> 2 Years,Yes,44354.0,26.0,230,1
Male,44,1,28.0,1,1-2 Year,No,26589.0,26.0,212,0
Male,48,1,8.0,1,1-2 Year,No,27384.0,124.0,219,0
Female,28,1,28.0,0,< 1 Year,Yes,57725.0,152.0,253,0
Male,33,1,28.0,0,< 1 Year,Yes,35008.0,26.0,151,1
Male,46,1,45.0,0,1-2 Year,Yes,32380.0,157.0,136,0
Male,51,1,28.0,1,1-2 Year,No,33670.0,124.0,254,0
Male,33,1,3.0,1,1-2 Year,No,2630.0,124.0,52,0
Male,63,1,28.0,1,1-2 Year,No,45622.0,26.0,60,0
Female,21,1,47.0,1,< 1 Year,No,35205.0,152.0,80,0
Male,23,1,8.0,0,< 1 Year,Yes,50001.0,152.0,180,0
Male,20,1,15.0,0,< 1 Year,Yes,35425.0,160.0,150,0
Male,55,1,47.0,1,1-2 Year,No,24487.0,26.0,47,0
Female,38,1,15.0,1,1-2 Year,No,68799.0,26.0,189,0
Male,47,1,28.0,0,1-2 Year,Yes,26348.0,124.0,237,0
Male,24,1,41.0,1,< 1 Year,No,35093.0,152.0,259,0
Male,38,1,4.0,0,1-2 Year,Yes,32271.0,26.0,260,0
Male,26,1,41.0,1,< 1 Year,No,26804.0,152.0,36,0
Female,44,1,33.0,0,1-2 Year,Yes,47432.0,124.0,290,0
Female,23,1,50.0,0,< 1 Year,Yes,60206.0,152.0,74,0
Female,27,1,11.0,1,< 1 Year,No,27464.0,152.0,137,0
Male,26,1,46.0,1,< 1 Year,No,24474.0,152.0,293,0
Male,73,1,8.0,0,1-2 Year,Yes,2630.0,124.0,129,0
Female,49,1,28.0,1,1-2 Year,No,45280.0,124.0,169,0
Male,59,1,7.0,0,1-2 Year,Yes,36207.0,124.0,180,0
Female,26,1,13.0,1,< 1 Year,No,22801.0,152.0,88,0
Female,22,1,41.0,1,< 1 Year,No,28730.0,152.0,232,0
Male,39,1,46.0,1,1-2 Year,No,30020.0,119.0,228,0
Male,31,1,18.0,1,< 1 Year,No,36572.0,152.0,243,0
Male,22,1,8.0,1,< 1 Year,No,31801.0,152.0,82,0
Female,21,1,12.0,0,< 1 Year,Yes,2630.0,160.0,108,0
Male,40,1,8.0,0,1-2 Year,Yes,35711.0,124.0,95,0
Female,79,1,39.0,1,1-2 Year,No,33822.0,124.0,136,0
Male,53,1,28.0,0,> 2 Years,Yes,43739.0,124.0,156,0
Male,52,1,52.0,0,1-2 Year,Yes,39255.0,157.0,123,0
Male,25,1,3.0,1,< 1 Year,No,58098.0,152.0,58,0
Male,66,1,27.0,0,1-2 Year,Yes,26369.0,26.0,286,0
Female,39,1,28.0,0,1-2 Year,Yes,37662.0,122.0,84,1
Male,80,1,28.0,0,1-2 Year,Yes,29348.0,26.0,145,0
Male,22,1,46.0,1,< 1 Year,No,43221.0,152.0,11,0
Male,21,1,28.0,1,< 1 Year,No,52792.0,152.0,223,0
Female,51,1,28.0,0,> 2 Years,Yes,58237.0,124.0,227,0
Male,27,1,15.0,0,< 1 Year,No,2630.0,152.0,181,0
Female,25,1,18.0,1,< 1 Year,Yes,44403.0,152.0,263,0
Female,23,1,11.0,1,< 1 Year,No,24899.0,152.0,276,0
Female,27,1,8.0,1,< 1 Year,No,32524.0,152.0,54,0
Male,22,1,30.0,1,< 1 Year,No,2630.0,160.0,11,0
Male,66,1,28.0,0,1-2 Year,No,46961.0,56.0,191,0
Male,23,1,25.0,0,< 1 Year,No,32633.0,152.0,280,0
Male,33,1,36.0,0,< 1 Year,No,24175.0,152.0,15,0
Female,20,1,22.0,0,< 1 Year,Yes,29251.0,160.0,154,0
Male,24,1,12.0,1,< 1 Year,No,23602.0,152.0,103,0
Female,41,1,3.0,1,1-2 Year,Yes,32487.0,124.0,103,0
Female,48,1,28.0,0,1-2 Year,Yes,47857.0,26.0,33,1
Female,75,1,28.0,0,1-2 Year,Yes,66711.0,26.0,155,0
Male,21,1,50.0,0,< 1 Year,Yes,28939.0,152.0,267,0
Female,21,1,37.0,0,< 1 Year,Yes,28659.0,152.0,284,0
Male,24,1,47.0,1,< 1 Year,No,35373.0,152.0,96,0
Male,28,1,36.0,1,< 1 Year,No,2630.0,152.0,260,0
Female,24,1,46.0,0,< 1 Year,Yes,26777.0,152.0,285,1
Female,20,1,21.0,0,1-2 Year,Yes,34630.0,156.0,82,1
Male,65,1,28.0,1,1-2 Year,No,32822.0,124.0,142,0
Male,61,1,28.0,0,> 2 Years,Yes,55004.0,122.0,15,0
Male,27,1,18.0,0,< 1 Year,Yes,36041.0,26.0,290,0
Male,73,1,28.0,0,> 2 Years,Yes,38593.0,52.0,74,0
Female,47,1,28.0,0,1-2 Year,Yes,2630.0,157.0,57,1
Male,72,1,28.0,1,1-2 Year,No,49345.0,125.0,36,0
Female,21,1,44.0,0,< 1 Year,Yes,2630.0,160.0,145,0
Male,44,1,41.0,1,1-2 Year,No,29968.0,26.0,240,0
Male,43,1,45.0,0,1-2 Year,Yes,28397.0,155.0,136,0
Male,48,1,20.0,0,1-2 Year,Yes,2630.0,124.0,140,1
Female,26,1,6.0,1,< 1 Year,No,29016.0,152.0,170,0
Male,67,1,35.0,0,1-2 Year,No,61700.0,26.0,118,0
Female,73,1,8.0,1,1-2 Year,No,34135.0,124.0,220,0
Male,50,1,41.0,0,1-2 Year,Yes,33461.0,124.0,156,0
Female,43,1,28.0,0,1-2 Year,Yes,36703.0,4.0,159,0
Male,53,1,18.0,0,1-2 Year,Yes,37367.0,26.0,202,0
Male,57,1,28.0,0,1-2 Year,Yes,70864.0,26.0,28,0
Male,24,1,28.0,0,1-2 Year,Yes,52252.0,122.0,67,0
Female,27,1,30.0,1,< 1 Year,No,29810.0,152.0,107,0
Female,39,1,28.0,1,1-2 Year,No,56719.0,124.0,78,0
Female,24,1,27.0,0,< 1 Year,No,33158.0,152.0,108,0
Male,44,1,48.0,0,1-2 Year,Yes,2630.0,157.0,238,1
Male,48,1,28.0,1,1-2 Year,No,34091.0,155.0,113,0
Male,47,1,8.0,1,1-2 Year,No,32304.0,26.0,185,0
Male,60,1,18.0,0,1-2 Year,Yes,42086.0,154.0,14,1
Female,23,1,37.0,0,< 1 Year,Yes,2630.0,26.0,69,0
Male,50,1,29.0,0,1-2 Year,Yes,27015.0,26.0,227,0
Female,26,1,33.0,1,< 1 Year,No,2630.0,160.0,232,0
Female,23,1,39.0,0,< 1 Year,No,39238.0,152.0,230,0
Female,26,1,11.0,1,< 1 Year,No,22725.0,152.0,212,0
Male,23,1,46.0,1,< 1 Year,No,35525.0,152.0,282,0
Female,32,1,16.0,0,1-2 Year,Yes,29380.0,124.0,148,1
Male,54,1,41.0,0,1-2 Year,Yes,33155.0,26.0,174,1
Female,28,1,21.0,1,< 1 Year,No,28120.0,152.0,71,0
Male,60,1,24.0,0,1-2 Year,Yes,26177.0,145.0,290,0
Male,21,1,15.0,1,< 1 Year,Yes,33529.0,160.0,176,0
Male,22,1,46.0,1,< 1 Year,No,53578.0,152.0,219,0
Female,69,1,35.0,0,1-2 Year,Yes,32069.0,10.0,146,0
Male,77,1,8.0,1,1-2 Year,No,60626.0,7.0,24,0
Male,52,1,33.0,1,1-2 Year,Yes,54475.0,124.0,32,0
Male,48,1,28.0,0,> 2 Years,Yes,46496.0,26.0,267,1
Female,23,1,28.0,1,< 1 Year,No,2630.0,152.0,265,0
Male,37,1,8.0,0,1-2 Year,Yes,2630.0,156.0,97,0
Male,20,1,45.0,0,< 1 Year,No,2630.0,160.0,119,0
Male,25,1,13.0,1,< 1 Year,No,30594.0,152.0,284,0
Female,25,1,8.0,1,< 1 Year,No,75985.0,152.0,21,0
Male,31,1,3.0,1,< 1 Year,No,23071.0,152.0,36,0
Male,27,1,46.0,1,1-2 Year,No,49544.0,122.0,17,0
Female,23,1,2.0,0,< 1 Year,Yes,30007.0,151.0,47,1
Male,50,1,8.0,0,1-2 Year,Yes,45534.0,26.0,156,1
Female,24,1,28.0,1,< 1 Year,No,55858.0,152.0,268,0
Male,28,1,28.0,1,< 1 Year,No,50347.0,152.0,156,0
Male,33,1,12.0,0,< 1 Year,No,2630.0,152.0,209,0
Female,25,1,11.0,1,< 1 Year,No,30295.0,152.0,14,0
Female,48,1,15.0,1,1-2 Year,No,42022.0,124.0,236,0
Female,76,1,28.0,1,1-2 Year,No,28689.0,26.0,19,0
Male,37,1,30.0,1,1-2 Year,No,25317.0,152.0,245,0
Female,31,1,30.0,1,< 1 Year,No,25990.0,152.0,42,0
Female,37,1,28.0,1,1-2 Year,No,26547.0,124.0,240,0
Female,54,1,46.0,1,1-2 Year,No,2630.0,26.0,205,0
Male,56,1,31.0,0,> 2 Years,Yes,2630.0,148.0,40,0
Male,40,1,48.0,0,1-2 Year,Yes,2630.0,26.0,31,1
Female,30,1,46.0,1,< 1 Year,No,28550.0,152.0,233,0
Male,41,1,8.0,0,1-2 Year,Yes,44102.0,26.0,249,0
Male,59,1,28.0,0,1-2 Year,Yes,28033.0,26.0,141,0
Female,26,1,41.0,0,< 1 Year,Yes,32626.0,152.0,183,1
Male,21,1,36.0,0,< 1 Year,Yes,33757.0,152.0,258,0
Male,51,1,8.0,0,1-2 Year,No,48298.0,124.0,213,0
Female,41,1,39.0,1,1-2 Year,No,2630.0,150.0,270,0
Female,25,1,46.0,1,< 1 Year,No,30110.0,152.0,106,0
Male,39,1,28.0,1,1-2 Year,No,30641.0,124.0,82,0
Female,22,1,33.0,1,< 1 Year,No,26664.0,152.0,100,0
Female,49,1,28.0,1,1-2 Year,No,46015.0,61.0,262,0
Female,62,1,50.0,0,1-2 Year,Yes,23688.0,154.0,247,0
Female,23,1,30.0,1,< 1 Year,No,27756.0,152.0,285,0
Male,68,1,50.0,0,1-2 Year,No,19811.0,124.0,282,0
Male,21,1,15.0,0,< 1 Year,No,38562.0,152.0,236,0
Female,57,1,8.0,0,> 2 Years,Yes,29143.0,26.0,197,0
Female,26,1,33.0,1,< 1 Year,No,32450.0,152.0,67,0
Male,46,1,40.0,0,1-2 Year,Yes,2630.0,124.0,273,0
Female,69,1,28.0,0,1-2 Year,Yes,50467.0,124.0,147,0
Male,25,1,2.0,1,< 1 Year,No,27738.0,152.0,94,0
Male,45,1,8.0,0,> 2 Years,Yes,90305.0,26.0,83,1
Male,43,1,28.0,0,1-2 Year,Yes,58627.0,124.0,23,1
Female,24,1,41.0,1,< 1 Year,No,17744.0,152.0,38,0
Female,27,1,11.0,1,< 1 Year,No,30032.0,152.0,73,0
Female,49,1,28.0,1,1-2 Year,No,24668.0,26.0,237,0
Female,23,1,46.0,1,< 1 Year,No,42679.0,152.0,103,0
Female,36,1,33.0,1,1-2 Year,No,31089.0,152.0,88,0
Female,24,1,28.0,0,< 1 Year,Yes,2630.0,152.0,173,0
Female,41,1,28.0,1,1-2 Year,No,29512.0,124.0,90,0
Male,24,1,11.0,0,< 1 Year,No,39411.0,152.0,235,0
Male,22,1,15.0,1,< 1 Year,No,34750.0,152.0,217,0
Female,51,1,46.0,1,1-2 Year,No,34124.0,29.0,202,0
Female,25,1,36.0,0,< 1 Year,No,2630.0,152.0,255,0
Male,53,1,28.0,0,1-2 Year,Yes,52540.0,26.0,25,0
Male,40,1,41.0,0,1-2 Year,Yes,40420.0,124.0,16,0
Female,47,1,19.0,0,1-2 Year,Yes,35849.0,26.0,67,0
Female,47,1,28.0,0,> 2 Years,Yes,47667.0,26.0,28,1
Female,56,1,35.0,0,1-2 Year,Yes,40577.0,26.0,87,0
Male,40,1,8.0,0,1-2 Year,Yes,29409.0,19.0,73,0
Male,22,1,37.0,0,< 1 Year,Yes,49499.0,26.0,179,0
Male,46,1,28.0,0,1-2 Year,Yes,57370.0,124.0,34,1
Female,24,1,41.0,0,< 1 Year,Yes,30570.0,152.0,60,0
Female,24,1,17.0,1,< 1 Year,No,2630.0,152.0,269,0
Male,72,1,28.0,0,> 2 Years,Yes,44103.0,26.0,18,0
Male,32,1,44.0,1,< 1 Year,No,34291.0,152.0,167,0
Male,28,1,36.0,0,< 1 Year,Yes,2630.0,152.0,113,0
Male,22,1,15.0,1,< 1 Year,No,33939.0,152.0,135,0
Male,45,1,48.0,0,1-2 Year,Yes,2630.0,15.0,268,0
Female,26,1,29.0,1,< 1 Year,No,21338.0,152.0,178,0
Female,35,1,15.0,1,1-2 Year,No,2630.0,160.0,88,0
Female,23,1,41.0,0,< 1 Year,Yes,28877.0,155.0,42,0
Male,29,1,2.0,1,< 1 Year,No,30827.0,152.0,71,0
Male,45,0,28.0,0,1-2 Year,Yes,51397.0,124.0,43,1
Male,23,1,36.0,0,< 1 Year,Yes,29752.0,152.0,236,1
Male,35,1,43.0,1,1-2 Year,No,2630.0,26.0,30,0
Female,51,1,28.0,0,> 2 Years,Yes,45925.0,26.0,51,0
Female,21,1,34.0,1,< 1 Year,No,23432.0,152.0,202,0
Male,29,1,3.0,1,< 1 Year,No,45873.0,152.0,79,0
Male,57,1,38.0,0,1-2 Year,Yes,29940.0,154.0,266,0
Male,39,1,17.0,1,1-2 Year,No,36296.0,152.0,241,0
Female,24,1,50.0,1,< 1 Year,No,26100.0,152.0,112,0
Male,35,1,2.0,0,1-2 Year,Yes,18531.0,124.0,146,1
Female,37,1,6.0,1,1-2 Year,No,27069.0,152.0,179,0
Female,25,1,35.0,1,< 1 Year,No,26636.0,152.0,223,0
Female,23,1,8.0,1,< 1 Year,No,54088.0,152.0,276,0
Female,40,1,28.0,0,1-2 Year,Yes,30693.0,26.0,28,0
Female,57,1,46.0,1,1-2 Year,No,2630.0,124.0,216,0
Male,20,1,49.0,0,< 1 Year,Yes,20872.0,160.0,281,0
Male,49,1,33.0,0,1-2 Year,Yes,42655.0,26.0,253,0
Female,22,1,2.0,1,< 1 Year,No,23427.0,152.0,67,0
Female,45,1,28.0,0,1-2 Year,Yes,39142.0,26.0,18,0
Male,37,1,8.0,1,1-2 Year,No,35249.0,152.0,74,0
Female,20,1,36.0,1,< 1 Year,No,39819.0,160.0,70,0
Male,21,1,28.0,0,< 1 Year,Yes,36589.0,158.0,68,0
Female,22,1,14.0,1,< 1 Year,No,29145.0,152.0,162,0
Female,35,1,28.0,1,1-2 Year,No,36878.0,152.0,299,0
Male,58,1,15.0,1,1-2 Year,No,2630.0,26.0,289,0
Female,68,1,11.0,0,1-2 Year,No,31288.0,124.0,248,0
Female,24,1,15.0,1,< 1 Year,No,34819.0,152.0,80,0
Female,27,1,12.0,0,< 1 Year,Yes,2630.0,160.0,37,0
Female,24,1,15.0,0,< 1 Year,No,46789.0,152.0,82,0
Male,23,1,47.0,0,< 1 Year,Yes,30639.0,152.0,164,0
Male,22,1,36.0,1,< 1 Year,No,35209.0,152.0,91,0
Female,37,1,28.0,0,1-2 Year,Yes,2630.0,124.0,239,1
Male,44,1,8.0,0,1-2 Year,No,33744.0,124.0,81,0
Male,24,1,6.0,0,< 1 Year,Yes,48982.0,151.0,106,1
Male,37,1,30.0,1,1-2 Year,No,26863.0,152.0,143,0
Male,39,1,28.0,0,1-2 Year,Yes,33423.0,26.0,113,0
Male,44,1,46.0,1,1-2 Year,No,31389.0,152.0,109,0
Male,24,1,25.0,0,< 1 Year,No,54320.0,152.0,14,0
Female,30,1,36.0,1,< 1 Year,No,31738.0,152.0,156,0
Female,23,1,46.0,1,< 1 Year,No,28275.0,152.0,83,0
Male,55,1,28.0,1,1-2 Year,No,30024.0,124.0,208,0
Female,50,1,28.0,0,1-2 Year,Yes,37841.0,26.0,32,0
Female,56,1,30.0,0,1-2 Year,Yes,31845.0,124.0,213,1
Female,52,1,15.0,0,1-2 Year,Yes,27709.0,124.0,235,0
Male,27,1,15.0,1,< 1 Year,No,39586.0,152.0,105,0
Male,24,1,39.0,1,< 1 Year,No,50816.0,152.0,65,0
Male,45,1,3.0,1,1-2 Year,No,31862.0,124.0,156,0
Male,20,1,47.0,1,< 1 Year,No,38147.0,160.0,78,0
Male,24,1,30.0,1,< 1 Year,No,23867.0,152.0,204,0
Female,24,1,33.0,1,< 1 Year,No,27595.0,152.0,40,0
Female,26,1,37.0,1,< 1 Year,No,42710.0,152.0,100,0
Male,78,1,28.0,0,> 2 Years,Yes,48811.0,26.0,289,0
Female,29,1,8.0,1,< 1 Year,No,34637.0,152.0,228,0
Male,46,1,28.0,1,1-2 Year,No,37645.0,26.0,200,0
Female,20,1,8.0,0,< 1 Year,Yes,31742.0,160.0,63,0
Female,30,1,4.0,1,< 1 Year,No,25672.0,152.0,250,0
Female,25,1,29.0,1,< 1 Year,No,23570.0,152.0,133,0
Female,23,1,33.0,1,< 1 Year,No,27832.0,152.0,33,0
Female,23,1,28.0,0,< 1 Year,Yes,46896.0,122.0,223,1
Female,46,1,46.0,1,1-2 Year,No,41855.0,26.0,103,0
Female,22,1,45.0,1,< 1 Year,No,29838.0,152.0,297,0
Female,60,1,28.0,0,1-2 Year,Yes,39217.0,13.0,107,0
Male,45,1,46.0,1,1-2 Year,No,32919.0,124.0,170,0
Male,59,1,8.0,1,1-2 Year,No,50663.0,124.0,295,0
Male,27,1,22.0,1,< 1 Year,No,2630.0,152.0,26,0
Male,65,1,46.0,0,1-2 Year,No,28713.0,29.0,221,0
Female,44,1,28.0,0,1-2 Year,Yes,45994.0,124.0,209,0
Female,22,1,15.0,1,< 1 Year,No,16587.0,160.0,21,0
Male,46,1,28.0,0,1-2 Year,Yes,57938.0,26.0,225,0
Male,62,1,29.0,1,1-2 Year,No,45016.0,26.0,244,0
Male,45,1,8.0,0,1-2 Year,No,37414.0,26.0,210,0
Female,63,1,20.0,1,1-2 Year,No,2630.0,26.0,58,0
Male,47,1,28.0,0,1-2 Year,Yes,336395.0,122.0,69,1
Male,26,1,41.0,0,< 1 Year,No,23134.0,152.0,80,0
Male,47,1,11.0,1,1-2 Year,No,37980.0,26.0,13,0
Female,20,1,28.0,1,< 1 Year,No,40186.0,160.0,170,0
Male,42,1,46.0,0,1-2 Year,Yes,24401.0,26.0,100,0
Female,27,1,23.0,0,< 1 Year,Yes,2630.0,160.0,105,0
Male,22,1,8.0,0,< 1 Year,No,2630.0,1.0,153,0
Female,22,1,36.0,1,< 1 Year,No,28619.0,152.0,64,0
Male,37,1,28.0,0,1-2 Year,Yes,29675.0,26.0,60,0
Male,23,1,29.0,1,< 1 Year,No,33310.0,152.0,112,0
Male,64,1,39.0,0,1-2 Year,Yes,38498.0,26.0,205,0
Female,22,1,48.0,1,< 1 Year,No,2630.0,160.0,219,0
Female,67,1,33.0,0,1-2 Year,Yes,39910.0,26.0,83,1
Female,51,1,28.0,0,1-2 Year,Yes,32844.0,124.0,260,0
Male,42,1,28.0,0,1-2 Year,No,39929.0,124.0,170,0
Male,55,1,33.0,0,> 2 Years,Yes,32897.0,124.0,58,0
Male,54,1,46.0,1,1-2 Year,No,32600.0,21.0,207,0
Male,48,1,28.0,0,> 2 Years,Yes,76366.0,55.0,80,0
Male,55,1,28.0,0,> 2 Years,Yes,37625.0,122.0,294,0
Female,21,1,14.0,0,< 1 Year,Yes,19755.0,152.0,185,0
Female,29,1,36.0,1,< 1 Year,No,2630.0,152.0,145,0
Male,80,1,21.0,0,1-2 Year,Yes,2630.0,156.0,13,0
Female,30,1,3.0,1,< 1 Year,No,24922.0,152.0,26,0
Male,26,1,35.0,1,< 1 Year,No,32848.0,151.0,51,0
Male,70,1,8.0,0,1-2 Year,Yes,33380.0,30.0,285,0
Female,27,1,28.0,0,< 1 Year,Yes,31112.0,152.0,251,1
Female,41,1,28.0,0,1-2 Year,Yes,34255.0,157.0,285,0
Female,72,1,8.0,1,1-2 Year,Yes,86484.0,30.0,184,0
Female,53,1,28.0,0,1-2 Year,Yes,2630.0,26.0,103,0
